Year,Institute_Type,Institute,Academic Program Name,Program_Year,Quota,Seat Type,Gender,Opening Rank,Closing Rank,Round
2020.0,NIT,NIT Jaipur,Architecture (BArch),5,HS,OBC-NCL,GN,948.0,2530.0,6
2020.0,NIT,NIT Jaipur,Architecture (BArch),5,HS,OBC-NCL,F,1008.0,5484.0,6
2020.0,NIT,NIT Jaipur,Architecture (BArch),5,HS,SC,GN,176.0,832.0,6
2020.0,NIT,NIT Jaipur,Architecture (BArch),5,HS,SC,F,367.0,367.0,6
2020.0,NIT,NIT Jaipur,Architecture (BArch),5,HS,ST,GN,116.0,1015.0,6
2020.0,NIT,NIT Jaipur,Architecture (BArch),5,HS,ST,F,99.0,99.0,6
2020.0,NIT,NIT Jaipur,Architecture (BArch),5,OS,OPEN,GN,624.0,930.0,6
2020.0,NIT,NIT Jaipur,Architecture (BArch),5,OS,OPEN,F,432.0,746.0,6
2020.0,NIT,NIT Jaipur,Architecture (BArch),5,OS,OPEN (PWD),GN,251.0,251.0,6
2020.0,NIT,NIT Jaipur,Architecture (BArch),5,OS,EWS,GN,226.0,273.0,6
2020.0,NIT,NIT Jaipur,Architecture (BArch),5,OS,EWS,F,394.0,394.0,6
2020.0,NIT,NIT Jaipur,Architecture (BArch),5,OS,OBC-NCL,GN,346.0,573.0,6
2020.0,NIT,NIT Jaipur,Architecture (BArch),5,OS,OBC-NCL,F,623.0,635.0,6
2020.0,NIT,NIT Jaipur,Architecture (BArch),5,OS,OBC-NCL (PWD),GN,158.0,158.0,6
2020.0,NIT,NIT Jaipur,Architecture (BArch),5,OS,SC,GN,156.0,345.0,6
2020.0,NIT,NIT Jaipur,Architecture (BArch),5,OS,SC,F,259.0,259.0,6
2020.0,NIT,NIT Jaipur,Architecture (BArch),5,OS,ST,GN,82.0,202.0,6
2020.0,NIT,NIT Jaipur,Architecture (BArch),5,OS,ST,F,186.0,186.0,6
2020.0,NIT,NIT Jaipur,Chem Engg (BTech),4,HS,OPEN,GN,13854.0,22984.0,6
2020.0,NIT,NIT Jaipur,Chem Engg (BTech),4,HS,OPEN,F,24358.0,30177.0,6
2020.0,NIT,NIT Jaipur,Chem Engg (BTech),4,HS,OPEN (PWD),GN,703.0,703.0,6
2020.0,NIT,NIT Jaipur,Chem Engg (BTech),4,HS,EWS,GN,3782.0,4468.0,6
2020.0,NIT,NIT Jaipur,Chem Engg (BTech),4,HS,EWS,F,5363.0,5363.0,6
2020.0,NIT,NIT Jaipur,Chem Engg (BTech),4,HS,OBC-NCL,GN,5813.0,7298.0,6
2020.0,NIT,NIT Jaipur,Chem Engg (BTech),4,HS,OBC-NCL,F,11156.0,15525.0,6
2020.0,NIT,NIT Jaipur,Chem Engg (BTech),4,HS,OBC-NCL (PWD),GN,1044.0,1044.0,6
2020.0,NIT,NIT Jaipur,Chem Engg (BTech),4,HS,SC,GN,3070.0,4879.0,6
2020.0,NIT,NIT Jaipur,Chem Engg (BTech),4,HS,SC,F,5357.0,7078.0,6
2020.0,NIT,NIT Jaipur,Chem Engg (BTech),4,HS,ST,GN,1856.0,2149.0,6
2020.0,NIT,NIT Jaipur,Chem Engg (BTech),4,HS,ST,F,1985.0,1985.0,6
2020.0,NIT,NIT Jaipur,Chem Engg (BTech),4,OS,OPEN,GN,16420.0,24475.0,6
2020.0,NIT,NIT Jaipur,Chem Engg (BTech),4,OS,OPEN,F,24294.0,30663.0,6
2020.0,NIT,NIT Jaipur,Chem Engg (BTech),4,OS,OPEN (PWD),GN,1766.0,1766.0,6
